gain_mc_arr,fc_mc_arr
1.003230000000000066e+00,9.929270000000000437e+03
1.002459999999999907e+00,9.925229999999999563e+03
1.003560000000000008e+00,9.931120000000000800e+03
1.002240000000000020e+00,9.928030000000000655e+03
1.002780000000000005e+00,9.929000000000000000e+03
1.002939999999999943e+00,9.927469999999999345e+03
1.002510000000000012e+00,9.921620000000000800e+03
1.002979999999999983e+00,9.921840000000000146e+03
1.003949999999999898e+00,9.935940000000000509e+03
1.002830000000000110e+00,9.924649999999999636e+03
1.003400000000000070e+00,9.932319999999999709e+03
1.003030000000000088e+00,9.926149999999999636e+03
1.003619999999999957e+00,9.932850000000000364e+03
1.002389999999999892e+00,9.925530000000000655e+03
1.003090000000000037e+00,9.926899999999999636e+03
1.003120000000000012e+00,9.927340000000000146e+03
1.002140000000000031e+00,9.927190000000000509e+03
1.002539999999999987e+00,9.926829999999999927e+03
1.001339999999999897e+00,9.919860000000000582e+03
1.003239999999999910e+00,9.929420000000000073e+03
1.003640000000000088e+00,9.934319999999999709e+03
1.003370000000000095e+00,9.930700000000000728e+03
1.002820000000000045e+00,9.929000000000000000e+03
1.003370000000000095e+00,9.928090000000000146e+03
1.003130000000000077e+00,9.928180000000000291e+03
1.003209999999999935e+00,9.928690000000000509e+03
1.002879999999999994e+00,9.926270000000000437e+03
1.003190000000000026e+00,9.929399999999999636e+03
1.003239999999999910e+00,9.927659999999999854e+03
1.003239999999999910e+00,9.928219999999999345e+03
1.003579999999999917e+00,9.932399999999999636e+03
1.003020000000000023e+00,9.926600000000000364e+03
1.003020000000000023e+00,9.924200000000000728e+03
1.003220000000000001e+00,9.925850000000000364e+03
1.002099999999999991e+00,9.923629999999999200e+03
1.002850000000000019e+00,9.925870000000000800e+03
1.003419999999999979e+00,9.929030000000000655e+03
1.003570000000000073e+00,9.931040000000000873e+03
1.003130000000000077e+00,9.926969999999999345e+03
1.003319999999999990e+00,9.929969999999999345e+03
1.002969999999999917e+00,9.925209999999999127e+03
1.002140000000000031e+00,9.926979999999999563e+03
1.002010000000000067e+00,9.927889999999999418e+03
1.003440000000000110e+00,9.931229999999999563e+03
1.003360000000000030e+00,9.929770000000000437e+03
1.002860000000000085e+00,9.924379999999999200e+03
1.003479999999999928e+00,9.931569999999999709e+03
1.003300000000000081e+00,9.926760000000000218e+03
1.003179999999999961e+00,9.927280000000000655e+03
1.003470000000000084e+00,9.928850000000000364e+03
1.003330000000000055e+00,9.929299999999999272e+03
1.002860000000000085e+00,9.927579999999999927e+03
1.002739999999999965e+00,9.928739999999999782e+03
1.003419999999999979e+00,9.927709999999999127e+03
1.003220000000000001e+00,9.929350000000000364e+03
1.003419999999999979e+00,9.930190000000000509e+03
1.003379999999999939e+00,9.930219999999999345e+03
1.002340000000000009e+00,9.917100000000000364e+03
1.003409999999999913e+00,9.928620000000000800e+03
1.003230000000000066e+00,9.928110000000000582e+03
1.003319999999999990e+00,9.929079999999999927e+03
1.002080000000000082e+00,9.926989999999999782e+03
1.003689999999999971e+00,9.933780000000000655e+03
1.003130000000000077e+00,9.930909999999999854e+03
1.001589999999999980e+00,9.927979999999999563e+03
1.003430000000000044e+00,9.932549999999999272e+03
1.003339999999999899e+00,9.929940000000000509e+03
1.003209999999999935e+00,9.928790000000000873e+03
1.003440000000000110e+00,9.929719999999999345e+03
1.003400000000000070e+00,9.927299999999999272e+03
1.003430000000000044e+00,9.930700000000000728e+03
1.003260000000000041e+00,9.929790000000000873e+03
1.003239999999999910e+00,9.927579999999999927e+03
1.003789999999999960e+00,9.933569999999999709e+03
1.002890000000000059e+00,9.924709999999999127e+03
1.003049999999999997e+00,9.927620000000000800e+03
1.002809999999999979e+00,9.928760000000000218e+03
1.003160000000000052e+00,9.927120000000000800e+03
1.003540000000000099e+00,9.931290000000000873e+03
1.003239999999999910e+00,9.926290000000000873e+03
1.002939999999999943e+00,9.925610000000000582e+03
1.003370000000000095e+00,9.930620000000000800e+03
1.002860000000000085e+00,9.927870000000000800e+03
1.002520000000000078e+00,9.928360000000000582e+03
1.002890000000000059e+00,9.923510000000000218e+03
1.003440000000000110e+00,9.930280000000000655e+03
1.003200000000000092e+00,9.928610000000000582e+03
1.002610000000000001e+00,9.925030000000000655e+03
1.003100000000000103e+00,9.927389999999999418e+03
1.003300000000000081e+00,9.930379999999999200e+03
1.003309999999999924e+00,9.927290000000000873e+03
1.003379999999999939e+00,9.930180000000000291e+03
1.002990000000000048e+00,9.926239999999999782e+03
1.002750000000000030e+00,9.926549999999999272e+03
1.002930000000000099e+00,9.923860000000000582e+03
1.003379999999999939e+00,9.932170000000000073e+03
1.003109999999999946e+00,9.928819999999999709e+03
1.002650000000000041e+00,9.921870000000000800e+03
1.003139999999999921e+00,9.930860000000000582e+03
1.003260000000000041e+00,9.930100000000000364e+03
